Function,Actions,Memory,AvgRuntime,Cost,CloudObjects
generate_formulas,84,512,6.119220591785715,0.004369123502534998,2688
get_formulas_number_per_chunk,32,512,5.033428564375001,0.0013690925695099998,0
store_formulas_segments,32,512,5.6790550803125,0.0015447029818449996,256
store_formula_to_id_chunk,1,1536,6.49119925,0.000165525580875,1
calculate_peaks_chunk,256,2048,7.864553638632812,0.06845307487065998,256
get_portable_imzml_reader,1,1024,2.69737601,4.585539217e-05,1
upload_chunk,1,3072,6.72044158,0.00034274252058,1
get_segm_bounds,1,1024,8.16482687,0.00013880205679000002,0
segment_spectra_chunk,1,2560,6.23001313,0.000264775558025,1
merge_spectra_chunk_segments,1,2560,3.96766806,0.00016862589255,1
clip_centr_df_chunk,256,512,4.146143944960938,0.009022009224235005,256
get_first_peak_mz,256,512,3.3484993373437497,0.0072863345580599995,0
segment_centr_chunk,256,512,4.732566429179688,0.010298064549894997,8192
merge_centr_df_segments,32,2048,2.9919636471875,0.00325525644814,350
upload_chunk,1,3072,7.80781007,0.00039819831357000004,1
process_centr_segment,350,2048,5.549895668885714,0.06604375845974003,172
