Function,Actions,Memory,AvgRuntime,Cost,CloudObjects
generate_formulas,84,512,7.234737257142859,0.005165602401599999,2688
get_formulas_number_per_chunk,32,512,5.3610654778125,0.0014582098099650003,0
store_formulas_segments,32,512,5.6284535600000005,0.0015309393683199995,256
store_formula_to_id_chunk,1,1536,6.46391034,0.00016482971366999999,1
calculate_peaks_chunk,256,2048,7.832125257617188,0.06817081824230001,256
get_portable_imzml_reader,1,1024,2.84488463,4.836303871e-05,1
upload_chunk,1,3072,6.7031014,0.0003418581714,1
get_segm_bounds,1,1024,6.3698864,0.0001082880688,0
segment_spectra_chunk,1,2560,5.84217501,0.00024829243792500003,1
merge_spectra_chunk_segments,1,2560,3.62503886,0.00015406415155000001,1
clip_centr_df_chunk,256,512,4.002434637734375,0.008709297771710001,256
get_first_peak_mz,256,512,3.2689636163671874,0.0071132648292150024,0
segment_centr_chunk,256,512,4.670501651835938,0.010163011594394995,8192
merge_centr_df_segments,32,2048,2.546928100625,0.00277105777348,350
process_centr_segment,350,2048,4.521216489257143,0.05380247622215997,172
build_ranking,24,1536,3.494494657083333,0.002138630730135,24
merge_rankings,4,256,11.059589684999999,0.000188013024645,0
get_target_images,172,1024,2.1246047073255814,0.006212344164220004,0
